Climbing Area,Zip Code
Alpine Rock,80212
Aspen Glen Campground Bouldering,81611
Black Hawk,80422
Boulder,80301
Breckenridge,80424
Broomfield,80020
Broomfield Boulders,80020
Buena Vista,81211
Canon City (Shelf Road),81212
Carbondale Area,81623
Cataract Lake (Heeney Colorado),80498
Coal Creek Canyon,80403
Colorado Springs,80903
Crested Butte,81224
Crestone,81131
Denver Metropolitan Area Bouldering and Buildering,80202
Denver South,80237
Dumont Vicinity,80436
Durango,81301
Eagle/Vail/Minturn/Red Cliff,81631
Eldora,80466
Empire,80438
Estes Park Valley (RMNP),80517
Fairplay,80440
Fort Collins,80521
Frisco Boulders,80443
Garden of the Gods,80904
Georgetown,80444
Glenwood Springs,81601
Golden,80401
Grand Junction Area,81501
Green Mountain Reservoir,80456
Gunnison,81230
Idaho Springs,80452
Keystone a.k.a. Montezuma,80435
Leadville,80461
Lyons,80540
Montrose,81401
Naturita and Paradox Valley,81422
Newlin Creek,81226
Ouray Vicinity (Rock),81427
Pagosa Springs,81147
Ute Valley,80919
